Weekly Tracker Data
"January 1, 2024 - July 31, 2024"
Account name,Customer ID,Campaign,Campaign type,Day,Currency code,Budget,Cost,Impr.,Clicks
Cherry Godfrey Group,207-885-5773,Mortgages Guernsey 2022,Display,2024-01-13,GBP,2.00,7.71,"14,905",94
Cherry Godfrey Group,207-885-5773,Mortgages Jersey 2022,Display,2024-01-13,GBP,5.00,7.89,"27,543",164
Cherry Godfrey Group,207-885-5773,Guernsey LInsurance 2022,Display,2024-01-14,GBP,2.00,8.10,"25,148",125
Cherry Godfrey Group,207-885-5773,IOW Life Insurance,Display,2024-01-14,GBP,2.00,7.86,"23,800",60
Cherry Godfrey Group,207-885-5773,IOW Mortgages,Display,2024-01-14,GBP,2.00,8.16,"36,511",71
Cherry Godfrey Group,207-885-5773,Jersey LInsurance 2022,Display,2024-01-14,GBP,2.00,7.92,"39,787",180
Cherry Godfrey Group,207-885-5773,Mortgages Guernsey 2022,Display,2024-01-14,GBP,2.00,7.97,"18,897",102
Cherry Godfrey Group,207-885-5773,Mortgages Jersey 2022,Display,2024-01-14,GBP,5.00,8.34,"26,485",201
Cherry Godfrey Group,207-885-5773,Guernsey LInsurance 2022,Display,2024-01-15,GBP,2.00,8.13,"24,641",124
Cherry Godfrey Group,207-885-5773,IOW Life Insurance,Display,2024-01-15,GBP,2.00,8.39,"29,681",61
Cherry Godfrey Group,207-885-5773,IOW Mortgages,Display,2024-01-15,GBP,2.00,8.11,"26,144",63
Cherry Godfrey Group,207-885-5773,Jersey LInsurance 2022,Display,2024-01-15,GBP,2.00,8.06,"36,359",171
Cherry Godfrey Group,207-885-5773,Mortgages Guernsey 2022,Display,2024-01-15,GBP,2.00,7.58,"21,810",85
Cherry Godfrey Group,207-885-5773,Mortgages Jersey 2022,Display,2024-01-15,GBP,5.00,7.87,"26,922",154
Cherry Godfrey Group,207-885-5773,Guernsey LInsurance 2022,Display,2024-01-16,GBP,2.00,8.03,"34,417",95
Cherry Godfrey Group,207-885-5773,IOW Life Insurance,Display,2024-01-16,GBP,2.00,8.30,"18,097",55
Cherry Godfrey Group,207-885-5773,IOW Mortgages,Display,2024-01-16,GBP,2.00,8.00,"31,783",67
Cherry Godfrey Group,207-885-5773,Jersey LInsurance 2022,Display,2024-01-16,GBP,2.00,7.84,"40,533",159
Cherry Godfrey Group,207-885-5773,Mortgages Guernsey 2022,Display,2024-01-16,GBP,2.00,8.58,"19,873",95
Cherry Godfrey Group,207-885-5773,Mortgages Jersey 2022,Display,2024-01-16,GBP,5.00,6.47,"22,928",146
Cherry Godfrey Group,207-885-5773,Guernsey LInsurance 2022,Display,2024-01-17,GBP,2.00,7.75,"28,251",108
Cherry Godfrey Group,207-885-5773,IOW Life Insurance,Display,2024-01-17,GBP,2.00,7.83,"34,502",70
Cherry Godfrey Group,207-885-5773,IOW Mortgages,Display,2024-01-17,GBP,2.00,7.86,"31,794",64
Cherry Godfrey Group,207-885-5773,Jersey LInsurance 2022,Display,2024-01-17,GBP,2.00,8.43,"39,012",148
Cherry Godfrey Group,207-885-5773,Mortgages Guernsey 2022,Display,2024-01-17,GBP,2.00,8.03,"16,179",114
Cherry Godfrey Group,207-885-5773,Mortgages Jersey 2022,Display,2024-01-17,GBP,5.00,9.66,"29,430",152
Cherry Godfrey Group,207-885-5773,Guernsey LInsurance 2022,Display,2024-01-18,GBP,2.00,7.93,"26,915",115
Cherry Godfrey Group,207-885-5773,IOW Life Insurance,Display,2024-01-18,GBP,2.00,7.60,"28,189",57
Cherry Godfrey Group,207-885-5773,IOW Mortgages,Display,2024-01-18,GBP,2.00,8.27,"33,550",75
Cherry Godfrey Group,207-885-5773,Jersey LInsurance 2022,Display,2024-01-18,GBP,2.00,7.51,"41,066",154
Cherry Godfrey Group,207-885-5773,Mortgages Guernsey 2022,Display,2024-01-18,GBP,2.00,7.64,"24,318",100
Cherry Godfrey Group,207-885-5773,Mortgages Jersey 2022,Display,2024-01-18,GBP,5.00,7.95,"25,649",165
Cherry Godfrey Group,207-885-5773,Guernsey LInsurance 2022,Display,2024-01-19,GBP,2.00,7.80,"26,873",107
Cherry Godfrey Group,207-885-5773,IOW Life Insurance,Display,2024-01-19,GBP,2.00,7.77,"41,015",52
Cherry Godfrey Group,207-885-5773,IOW Mortgages,Display,2024-01-19,GBP,2.00,7.74,"25,336",54
Cherry Godfrey Group,207-885-5773,Jersey LInsurance 2022,Display,2024-01-19,GBP,2.00,8.07,"40,745",156
